oppId,updateId,findingBlock,pathId,amountIn,predictedNetProfit,predictedGrossProfit,predictedGas,txHash,internalError,executionTime
1080299I00885,1080299P7427fe8b2ace7c8b23f044deb3ac75ea,1080299,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080308I00885,1080308P26dccf436baa282c25c8e0e5e73ffb1c,1080308,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080310I00885,1080310P26dccf436baa282c25c8e0e5e73ffb1c,1080310,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080312I00885,1080312P46ff8b0906d9cdb8490c847f41403abd,1080312,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080315I00885,1080315Pd9e840c8b8b7c5a90db83cb1c5490a1e,1080315,I00885,26891786395287896747,67563090384646372,155763090384646372,392000,,VM Exception while processing transaction: revert Not profitable,
1080319I00885,1080319P00fdf52582ebc20e564c6606e7c69d93,1080319,I00885,26765345296028371603,66101743115444873,154301743115444873,392000,,VM Exception while processing transaction: revert Not profitable,
1080322I00885,1080322P463a7d38ae03f8a04d4b599be317adc2,1080322,I00885,26765345296028371603,66101743115444873,154301743115444873,392000,,VM Exception while processing transaction: revert Not profitable,
1080327I00885,1080327P00fdf52582ebc20e564c6606e7c69d93,1080327,I00885,26758473199840781655,66022515982192174,154222515982192174,392000,,VM Exception while processing transaction: revert Not profitable,
1080334I00885,1080334P00fdf52582ebc20e564c6606e7c69d93,1080334,I00885,26755886489375297321,65992699543488460,154192699543488460,392000,,VM Exception while processing transaction: revert Not profitable,
1080338I00885,1080338P00fdf52582ebc20e564c6606e7c69d93,1080338,I00885,26920085861618320758,67891105573200556,156091105573200556,392000,,VM Exception while processing transaction: revert Not profitable,
1080340I00885,1080340Pba4f4b2001c2c716ecd87de083d80d25,1080340,I00885,26920085861618320758,67891105573200556,156091105573200556,392000,,VM Exception while processing transaction: revert Not profitable,
1080350I00885,1080350P00fdf52582ebc20e564c6606e7c69d93,1080350,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080352I00885,1080352Pba4f4b2001c2c716ecd87de083d80d25,1080352,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080353I00885,1080353Pba4f4b2001c2c716ecd87de083d80d25,1080353,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080357I00885,1080357Pa9cacbe1efb8c5eed4a419809e7c2488,1080357,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080358I00885,1080358P4b1721d09c3b27e2c828f05265b7d548,1080358,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080362I00885,1080362Pba4f4b2001c2c716ecd87de083d80d25,1080362,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080366I00885,1080366Pd9e840c8b8b7c5a90db83cb1c5490a1e,1080366,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080368I00885,1080368P26dccf436baa282c25c8e0e5e73ffb1c,1080368,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080373I00885,1080373P26dccf436baa282c25c8e0e5e73ffb1c,1080373,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080376I00885,1080376Pba4f4b2001c2c716ecd87de083d80d25,1080376,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080377I00885,1080377Pa9cacbe1efb8c5eed4a419809e7c2488,1080377,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080384I00885,1080384P80819e3764cc3a09110c40b4960b4039,1080384,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080388I00885,1080388P26dccf436baa282c25c8e0e5e73ffb1c,1080388,I00885,26615496172985690923,64378775221875042,152578775221875042,392000,,VM Exception while processing transaction: revert Not profitable,
1080391I00885,1080391P00fdf52582ebc20e564c6606e7c69d93,1080391,I00885,26902217771872267399,67683958480213600,155883958480213600,392000,,VM Exception while processing transaction: revert Not profitable,
1080392I00885,1080392P00fdf52582ebc20e564c6606e7c69d93,1080392,I00885,26576202384623395185,63928575293422946,152128575293422946,392000,,VM Exception while processing transaction: revert Not profitable,
1080393I00885,1080393Pd9e840c8b8b7c5a90db83cb1c5490a1e,1080393,I00885,26576202384623395185,63928575293422946,152128575293422946,392000,,VM Exception while processing transaction: revert Not profitable,
1080395I00885,1080395P463a7d38ae03f8a04d4b599be317adc2,1080395,I00885,26576202384623395185,63928575293422946,152128575293422946,392000,,VM Exception while processing transaction: revert Not profitable,
1080396I00885,1080396P99609322fc9b60657b002a730d4d7d0d,1080396,I00885,26530025729524056187,63397366943042166,151597366943042166,392000,,VM Exception while processing transaction: revert Not profitable,
1080397I00885,1080397P463a7d38ae03f8a04d4b599be317adc2,1080397,I00885,26530025729524056187,63397366943042166,151597366943042166,392000,,VM Exception while processing transaction: revert Not profitable,
1080403I00885,1080403P90593322463a8ef1b4385bd3c28ebf29,1080403,I00885,26530025729524056187,63397366943042166,151597366943042166,392000,,VM Exception while processing transaction: revert Not profitable,
1080412I00885,1080412P47f1f7f6232906996cfd34445972afd0,1080412,I00885,26530025729524056187,63397366943042166,151597366943042166,392000,,VM Exception while processing transaction: revert Not profitable,
1080415I00885,1080415Pba4f4b2001c2c716ecd87de083d80d25,1080415,I00885,26530025729524056187,63397366943042166,151597366943042166,392000,,VM Exception while processing transaction: revert Not profitable,
1080418I00885,1080418P758c48aee2cec12b2fe55def24df733c,1080418,I00885,26530025729524056187,63397366943042166,151597366943042166,392000,,VM Exception while processing transaction: revert Not profitable,
1080425I00885,1080425P00fdf52582ebc20e564c6606e7c69d93,1080425,I00885,26498692656328401745,63039482512888909,151239482512888909,392000,,VM Exception while processing transaction: revert Not profitable,
1080426I00885,1080426P80819e3764cc3a09110c40b4960b4039,1080426,I00885,26498692656328401745,63039482512888909,151239482512888909,392000,,VM Exception while processing transaction: revert Not profitable,
1080428I00885,1080428P80819e3764cc3a09110c40b4960b4039,1080428,I00885,26498692656328401745,63039482512888909,151239482512888909,392000,,VM Exception while processing transaction: revert Not profitable,
1080430I00885,1080430P47f1f7f6232906996cfd34445972afd0,1080430,I00885,26498692656328401745,63039482512888909,151239482512888909,392000,,VM Exception while processing transaction: revert Not profitable,
1080436I00885,1080436P47f1f7f6232906996cfd34445972afd0,1080436,I00885,26498692656328401745,63039482512888909,151239482512888909,392000,,VM Exception while processing transaction: revert Not profitable,
1080437I00885,1080437P80819e3764cc3a09110c40b4960b4039,1080437,I00885,26498692656328401745,63039482512888909,151239482512888909,392000,,VM Exception while processing transaction: revert Not profitable,
1080438I00885,1080438P47f1f7f6232906996cfd34445972afd0,1080438,I00885,26498692656328401745,63039482512888909,151239482512888909,392000,,VM Exception while processing transaction: revert Not profitable,
1080440I00885,1080440P80819e3764cc3a09110c40b4960b4039,1080440,I00885,26498692656328401745,63039482512888909,151239482512888909,392000,,VM Exception while processing transaction: revert Not profitable,
1080441I00885,1080441P00fdf52582ebc20e564c6606e7c69d93,1080441,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080450I00885,1080450P26dccf436baa282c25c8e0e5e73ffb1c,1080450,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080457I00885,1080457P26dccf436baa282c25c8e0e5e73ffb1c,1080457,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080458I00885,1080458P26dccf436baa282c25c8e0e5e73ffb1c,1080458,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080464I00885,1080464Pa9cacbe1efb8c5eed4a419809e7c2488,1080464,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080469I00885,1080469Pd9e840c8b8b7c5a90db83cb1c5490a1e,1080469,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080472I00885,1080472P26dccf436baa282c25c8e0e5e73ffb1c,1080472,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080472I03539,1080472P26dccf436baa282c25c8e0e5e73ffb1c,1080472,I03539,2051158151887273201,-70342385817820365,17857614182179635,392000,,Tx submission timeout reached,
1080474I00885,1080474P90593322463a8ef1b4385bd3c28ebf29,1080474,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080474I04120,1080474P90593322463a8ef1b4385bd3c28ebf29,1080474,I04120,1421241264304883936,-83906505370049254,4293494629950746,392000,,Tx submission timeout reached,
1080479I00885,1080479Pd9e840c8b8b7c5a90db83cb1c5490a1e,1080479,I00885,26739668139389090030,65802771616568264,154002771616568264,392000,,VM Exception while processing transaction: revert Not profitable,
1080486I00885,1080486P00fdf52582ebc20e564c6606e7c69d93,1080486,I00885,26716884807451442555,65540442094798525,153740442094798525,392000,,VM Exception while processing transaction: revert Not profitable,
1080486I00466,1080486P00fdf52582ebc20e564c6606e7c69d93,1080486,I00466,48534220220402208002,-37426585641916757,50773414358083243,392000,,Tx submission timeout reached,
1080489I00885,1080489P4b1721d09c3b27e2c828f05265b7d548,1080489,I00885,26231932381703119867,60009692148743718,148209692148743718,392000,,VM Exception while processing transaction: revert Not profitable,
1080493I00885,1080493P6378ba053f3a6ed2903b72380949d5a3,1080493,I00885,26231932381703119867,60009692148743718,148209692148743718,392000,,VM Exception while processing transaction: revert Not profitable,
1080498I01206,1080498P6d5f598205180ce7aef1362300a603eb,1080498,I01206,2001670832666499622,-70611232645928763,17588767354071237,392000,,Tx submission timeout reached,
1080504I04645,1080504P00fdf52582ebc20e564c6606e7c69d93,1080504,I04645,10941261461875183936,-43663154347330081,17536845652669919,272000,0x63add0239dc2cd48db251e5bdda84e6793ab0ffc4219d9d4e5aeec1b453f22f7,,6070
1080522I02311,1080522Pd9e840c8b8b7c5a90db83cb1c5490a1e,1080522,I02311,1365978557038247901,-55038680152233045,6161319847766955,272000,,Tx submission timeout reached,
1080526I01746,1080526P00fdf52582ebc20e564c6606e7c69d93,1080526,I01746,11311568202514249119,-52667342040631327,35532657959368673,392000,,Tx submission timeout reached,
1080532I02194,1080532P00fdf52582ebc20e564c6606e7c69d93,1080532,I02194,3027505575943261431,-59842858728348775,28357141271651225,392000,0xb0eb851715632b63b268f37aace8744ad2f77a852ab2234619986f4b1ebf4578,,7078
1080536I01765,1080536P26dccf436baa282c25c8e0e5e73ffb1c,1080536,I01765,2653586649585850601,-53256100027827860,7943899972172140,272000,,Tx submission timeout reached,
1080566I02324,1080566P5c7ec232b53781140521358bfc26865c,1080566,I02324,1418336719572849427,-80752970559890567,7447029440109433,392000,,Tx submission timeout reached,
1080570I00452,1080570P758c48aee2cec12b2fe55def24df733c,1080570,I00452,10863643528038953894,-41066396131496388,20133603868503612,272000,,Tx submission timeout reached,
1080574I03895,1080574P4b1721d09c3b27e2c828f05265b7d548,1080574,I03895,1176247996598644678,-86196738536356663,2003261463643337,392000,,Tx submission timeout reached,
1080588I04698,1080588P9853d80c10585c6f8d126bac918f9383,1080588,I04698,703801285495007819,-75096281273357254,13103718726642746,392000,,Tx submission timeout reached,
1080598I02324,1080598P00fdf52582ebc20e564c6606e7c69d93,1080598,I02324,1395594129661703684,-80989877817437353,7210122182562647,392000,0x73fd2b1eceea06d333d6dffff2fdcdf7740c6a77dedb6324ff7f9d750abcbbde,,2396
1080606I03485,1080606P7427fe8b2ace7c8b23f044deb3ac75ea,1080606,I03485,1738098011480851039,-72184595530432326,16015404469567674,392000,0xd9527da5316c746efdee44319ee30fd5d27317e83f63dd2938f33050c90d05c1,,8310
1080612I02324,1080612P00fdf52582ebc20e564c6606e7c69d93,1080612,I02324,1494752382559103949,-79928905984223452,8271094015776548,392000,0x68af5c3a6d8a68f42d0217fb41ba7dee0de930c71d3b8e8fd8a8a0fb0fdb08f0,,5312
1080666I03128,1080666P7427fe8b2ace7c8b23f044deb3ac75ea,1080666,I03128,2464564167768578738,-85275418080305397,2924581919694603,392000,,Tx submission timeout reached,
1080668I02324,1080668P00fdf52582ebc20e564c6606e7c69d93,1080668,I02324,1483842993907575077,-80049198627398534,8150801372601466,392000,0xf118746c1d5373ef448c3a4638b0a4fad731f090770abe8f8d8df946f4c6a079,,7982
