updateId,blockNumber,traderAddress,nodeIp,startTimestamp,processingTime,updatedPools,searchedPaths
1079125Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079125,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342016689,159,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079128P63bffbe106c08a57d45697bdd345af53,1079128,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342097480,173,0x6c2038f09212dac0aD30Be822f0EECfB29064814,3422
1079128P63bffbe106c08a57d45697bdd345af53,1079128,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342097480,213,0x6c2038f09212dac0aD30Be822f0EECfB29064814,3422
1079135Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079135,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342201771,193,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079135Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079135,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342201771,211,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079137P26dccf436baa282c25c8e0e5e73ffb1c,1079137,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342204717,163,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079137P26dccf436baa282c25c8e0e5e73ffb1c,1079137,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342204717,173,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079140P96f84e4e95872759001815b55949e6b4,1079140,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342234019,165,0x45c2755EEFA0eb96cE15C2f6FDc48346DA7f3A7e,3422
1079140P96f84e4e95872759001815b55949e6b4,1079140,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342234020,164,0x45c2755EEFA0eb96cE15C2f6FDc48346DA7f3A7e,3422
1079140P80819e3764cc3a09110c40b4960b4039,1079140,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342234185,155,0x0751f9A49D921aA282257563C2041B9a0E00eB78,3422
1079140P80819e3764cc3a09110c40b4960b4039,1079140,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342234187,154,0x0751f9A49D921aA282257563C2041B9a0E00eB78,3422
1079144P758c48aee2cec12b2fe55def24df733c,1079144,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342286974,162,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,3422
1079144P758c48aee2cec12b2fe55def24df733c,1079144,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342286974,163,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,3422
1079147Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079147,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342327741,163,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079147Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079147,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342327741,165,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079148P26dccf436baa282c25c8e0e5e73ffb1c,1079148,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342330807,158,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079148P26dccf436baa282c25c8e0e5e73ffb1c,1079148,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342330807,160,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079153Pba4f4b2001c2c716ecd87de083d80d25,1079153,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342467962,165,0x494Dd9f783dAF777D3fb4303da4de795953592d0,3422
1079153Pba4f4b2001c2c716ecd87de083d80d25,1079153,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342467962,172,0x494Dd9f783dAF777D3fb4303da4de795953592d0,3422
1079164Pbd029547708f7a4a5fd7af005970cde8,1079164,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342606288,166,0x76FbCE48D9dCE3d04bfAc318d1fDeb3a78e903A9,3422
1079164Pbd029547708f7a4a5fd7af005970cde8,1079164,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342606287,161,0x76FbCE48D9dCE3d04bfAc318d1fDeb3a78e903A9,3422
1079164P47f1f7f6232906996cfd34445972afd0,1079164,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342606448,151,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079164P47f1f7f6232906996cfd34445972afd0,1079164,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342606455,150,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079165P26dccf436baa282c25c8e0e5e73ffb1c,1079165,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342612792,158,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079165P26dccf436baa282c25c8e0e5e73ffb1c,1079165,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342612793,161,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079166Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079166,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342615807,162,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079166Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079166,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342615807,163,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079176P7427fe8b2ace7c8b23f044deb3ac75ea,1079176,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342688766,166,0xa1C2c3B6b120cBd4Cec7D2371FFd4a931A134A32,3422
1079176P7427fe8b2ace7c8b23f044deb3ac75ea,1079176,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342688766,167,0xa1C2c3B6b120cBd4Cec7D2371FFd4a931A134A32,3422
1079180P47f1f7f6232906996cfd34445972afd0,1079180,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342732268,162,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079180P5fc9d2808330416f48196e6b19aae22d,1079180,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342732431,149,0x79C1B4Ee613F29a8c0aae563Ef445317D99a6906,3422
1079180P47f1f7f6232906996cfd34445972afd0,1079180,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342732268,161,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079180P5fc9d2808330416f48196e6b19aae22d,1079180,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342732429,153,0x79C1B4Ee613F29a8c0aae563Ef445317D99a6906,3422
1079187P26dccf436baa282c25c8e0e5e73ffb1c,1079187,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342782777,161,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079187P26dccf436baa282c25c8e0e5e73ffb1c,1079187,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342782777,161,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079190P758c48aee2cec12b2fe55def24df733c,1079190,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342786935,153,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,3422
1079190P758c48aee2cec12b2fe55def24df733c,1079190,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342786935,156,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,3422
1079197P26dccf436baa282c25c8e0e5e73ffb1c,1079197,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342862451,161,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079197P26dccf436baa282c25c8e0e5e73ffb1c,1079197,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342862451,161,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079198P26dccf436baa282c25c8e0e5e73ffb1c,1079198,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342864868,153,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
