oppId,updateId,findingBlock,pathId,amountIn,predictedNetProfit,predictedGrossProfit,predictedGas,txHash,internalError,executionTime
fea753f4cd2c9afa446b74e01196ed80,729a1c28b398653932dd6eccb6e24d62,1095338,I03433,82334745557500700123,1280497937280906694,1368697937280906694,392000,0xe18cb79b0e8496af2d39b56bdd72066e74e7c097ca45208ce38bcdcee49b76a1,,1681
84ae8d24070ce7da51e9dae8f0880769,a29da4bbbdad0bf5da1f9b8453a6cea2,1095134,I03433,136436995207273684575,3627471548101616532,3715671548101616532,392000,0xea1e92ff5a76964e37f260558fd2ea67c5919d088208d0ab2f1bf28cf88d4095,,8175
33e0b96ee87fe1cede7ed3c4aa07d476,bdf3e37fbcd8d4b8b467b8def496ca21,1095498,I00003,9868019713720385143,166543109813176109,254743109813176109,392000,0x79c3317329fff626fbc577bbb4f188fc8aeb66626bbc1194d4f450f49a7713be,,2965
5406754d15cc1eff0b523298605f0c31,512f59dfc529f14565947c454162c4a9,1095976,I03626,97887210020478487950,1829598836463691316,1917798836463691316,392000,0x3175545c65d4d2183a95ce1a2cd45a9e921dc81c0008c3a5f110dd3897061c18,,3011
1890af073bd0921bc5c3caac28c827c1,291ffd5688e497803db133308d2e963d,1095370,I02252,10053013541994502826,57717447771920492,118917447771920492,272000,0xbd4d67e078785590a16d185394146c6533edadc1b9cf651c9217cb7daebf5f63,,2220
2786c6861bee8b96d30b8fc8474a33d5,2fc5373b9bbec130e7dd9db94898f682,1096076,I04197,23023658481403006724,129417944425338088,217617944425338088,392000,0xb0584b34bc640e321d7f1c305e0a1bb62b0d82476a014a45d7893ff71da72df4,,3241
577a35be6c8fbfe28f283d6a96277c63,05198343cd9d28c0072f1b3cec4066a3,1095780,I03629,107549890872631713101,2740533782113298750,2828733782113298750,392000,0xdfdf57988690865cb1bd6a5f1690905d0b53151ad51a11b55d247386151ec429,,2020
a8356637daa00df79ad3701ff687d816,2349697cd1b6b584c0a718b99e073562,1095574,I03629,29352231678076579321,121998509559661885,210198509559661885,392000,0x3bf2ddbe8791584fbebfb61e0693f2bb746b32dad64829daa8e6c694d58842c3,,2983
2d3bdd420170c2f287a0c95439334fad,14ccd9be57ee643e3655eef754797b90,1096118,I03433,42698621252310656172,265994683369891173,354194683369891173,392000,0xa687261354fe52600c8a6f48ed8c031d41b656e0a5e72574a75a3b29cc7d8710,,9047
c4509ce530ab9b1952b679aafc55cbef,02546db1938406ce4f24abb88539595e,1096400,I00626,44173100414309271779,318560057676624062,379760057676624062,272000,0x27e55cffad15513b8d677dc877e62ce95b6b3d6d2572cbe72e80116ba02c6772,,1884
c184667e76a23a35ce55cc91bca63cf4,37535a4a1235222832a80d79a10a201b,1099656,I04624,539099769414167504,144888330680300966,233088330680300966,392000,0xc1fbb481e5ec0f5b67de152ac41be02c2af933949fc868b67c4d07baeeccdad2,,6214
1ab14bd042fd82c4bce670fd52951bab,9fd2b9912a10c0870c5f72aad65f7625,1096348,I04196,109306439187607341989,2844717976778179825,2932917976778179825,392000,0x9361ffe50f8d24d7af4a7fb71ad3193d79439475c8df5aa3f42caafaa0828014,,1457
21eb9750dd19281211ad9a3f8c581e79,cbc36c90be16b9a76308509a1aaec703,1096488,I03885,68253072664281762568,753954025536327506,815154025536327506,272000,0x7af3a5aa314b053941e6864620e6a758db925c8bfd7b41412682519ed3cb0e6c,,3031
13cd4d7b5e6ada3673fba28cfcc0fc64,d1c94b9c27f6161599873df2884ad0bd,1096384,I03730,84749321874977816762,992537326757078284,1053737326757078284,272000,0x48e17806d295ed4a72425c7664d9d46edc48d7fc5e398596694dabb714615f2f,,5807
d06e1b285e31b2f86159da81fa6e4380,3da3ac4b4408382d57b640f9633493b9,1096524,I03783,32996935922018308274,105129596037821846,166329596037821846,272000,0x27adeca15564e4ebbf466220db177868822a461c8b1f7a3f88547eb4ad395748,,6064
ccae937a8d8f835645fa88767d6bd178,b21048c559e6c7b46288b8913a024888,1096572,I00466,77512592143802803871,61472374587562042,149672374587562042,392000,0x38df7dfad4758b45bfefc19f4e243724f0add78f435aa6fa1ac6f8d11a0977e7,,1433
d728a52fc2d38fb78a1e86957c2e95ec,a4483dfdde42f83ed5f5023363a4f185,1096876,I03626,183682688165019058191,7100595657627492013,7188795657627492013,392000,0xe3bd5a11e55c1b34b8719ad929c1e9809b11e9bcda49f8c48862a76894b2d2de,,5489
4fef6df4bf49b3668121f6a592629605,b7a035af56e06e1cd6b90500e69d13ac,1096880,I04733,17782478482387446573,134368409749150798,222568409749150798,392000,0xd415fdcc96a768d8c89abf0960c7dc7ee81694af788b8740a1ecc4032fd505ed,,4076
74742693f22f7067b6acf58d146d15cd,fe0a09e1a28b866085b5592b5bab42e4,1096800,I04614,896369392266884997,70646282757003355,158846282757003355,392000,0xcb6dc0d4c9dd518c7a11e9ddc7efd900d27e70f89d6f336b32458a6f332ef877,,9734
6ce20d478deff047bb74cfc63b97d5db,1178af17200d3919dc2b77bc299ed6a0,1097114,I04614,893386918993789978,69590986995170517,157790986995170517,392000,0x5ea467e23c1bf97d59a8fcb597e26257f9e3798bfcc734a610134d6b4977d376,,5962
ab5cde4e88adfce88f99a2ad889ee55a,dcc9897b204b2e464e454ca5ba85beff,1097268,I03536,8865901138163110237,162386524243209274,250586524243209274,392000,0xd6808b3063f5b8a1f415de03c84ff4a5f18e7f63ac3245271c091b4d1beba3ee,,2423
