updateId,blockNumber,traderAddress,nodeIp,startTimestamp,processingTime,updatedPools,searchedPaths,index
9033ffa9383811f14c14f471a2640469,1079625,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345400031,7,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,72,0
e4adef0c60504fde9e1ff7e5c9e28825,1079635,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345422213,2,0x97B4957df08E185502A0ac624F332c7f8967eE8D,16,0
80f0cb37f1d081052d0713d118ef7bba,1079647,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345499261,9,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,96,0
e0830a9e79ab464206e2d4067381cf91,1079653,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345528046,4,0x494Dd9f783dAF777D3fb4303da4de795953592d0,24,0
1f22b3973f5b050de7c29b9f303c1cc1,1079659,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345558716,4,0x494Dd9f783dAF777D3fb4303da4de795953592d0,24,0
33d5a7bdcfa0d61f39b69df96266a00f,1079663,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345592374,13,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,134,0
4e154f0a647ca5d1e9906f12c7fe0bd8,1079671,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345644647,9,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,96,0
d1f6e90a714cf12267178d971c4e67e3,1079677,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345683942,6,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,72,0
e29b2549306bc4cb1dea5921dbccbc2a,1079681,0x49C6598c5AcA07f1efeB1A86003C47bf2FC2d95D,54.184.27.142,1618345716570,5,0x57cc32Cd7F5a531953E9af25e1C9394093428082,22,0
16a4aadc7010f6f75fe22ecb92690852,1079681,0x103c7BEC38a948b738A430B2b685654dd95bE0A5,54.184.27.142,1618345716570,11,0x57cc32Cd7F5a531953E9af25e1C9394093428082,30,1
